,full_name,stargazers_count,watchers_count,forks_count,size
24,cisagov/RedEye,2132,2132,200,6114
23,cisagov/Sparrow,1357,1357,182,57
15,cisagov/Malcolm,1317,1317,220,114756
17,cisagov/log4j-scanner,1259,1259,212,528
14,cisagov/log4j-affected-db,1117,1117,302,3349
28,cisagov/CHIRP,1039,1039,93,1172
21,cisagov/cset,1022,1022,190,1890946
16,cisagov/ScubaGear,675,675,69,25523
0,cisagov/pshtt,645,645,92,1175
17,cisagov/crossfeed,252,252,44,110893
28,cisagov/bad-practices,170,170,11,2092
12,cisagov/ESXiArgs-Recover,160,160,21,19
11,cisagov/development-guide,147,147,31,605
2,cisagov/trustymail,145,145,28,890
3,cisagov/cyber.dhs.gov,130,130,60,23083
0,cisagov/check-cve-2019-19781,105,105,28,367
26,cisagov/ICSNPP,96,96,16,717
6,cisagov/dotgov-data,88,88,34,45369
22,cisagov/prescup-challenges,69,69,21,799265
12,cisagov/findcdn,62,62,10,7562
4,cisagov/ansible-role-cobalt-strike,62,62,11,710
25,cisagov/cybersecurity-performance-goals,53,53,2,1035
12,cisagov/PNT-Integrity,42,42,19,4094
17,cisagov/join-cisagov,37,37,8,281
21,cisagov/vdp-in-fceb,32,32,9,80
29,cisagov/ioc-scanner,31,31,3,587
13,cisagov/Epsilon,30,30,7,123
20,cisagov/shareable-soar-workflows,29,29,7,27457
14,cisagov/gophish-tools,28,28,5,938
29,cisagov/check-your-pulse,27,27,8,37
1,cisagov/dotgov-home,21,21,20,2734
0,cisagov/postfix-docker,21,21,5,603
2,cisagov/pca-gophish-composition,19,19,2,758
5,cisagov/scanner,18,18,5,1300
20,cisagov/skeleton-python-library,18,18,7,497
17,cisagov/getgov,18,18,4,7924
1,cisagov/gophish-docker,16,16,7,612
15,cisagov/cyhy_amis,15,15,2,2499
0,cisagov/icsnpp-enip,13,13,6,233
27,cisagov/icsnpp-bacnet,11,11,6,407
5,cisagov/pe-reports,11,11,4,14035
7,cisagov/lambda_functions,11,11,5,172
21,cisagov/rva-reporting-engine,10,10,1,3927
10,cisagov/ansible-role-clamav,10,10,3,789
0,cisagov/tic3.0,10,10,7,28
2,cisagov/icsnpp-s7comm,10,10,6,110
6,cisagov/skeleton-docker,9,9,2,529
10,cisagov/trustymail_reporter,9,9,4,12273
11,cisagov/pshtt_reporter,9,9,5,12124
4,cisagov/cyhy-mailer,9,9,5,622
21,cisagov/pre-commit-packer,9,9,8,272
24,cisagov/domain-manager-api,9,9,3,61971
16,cisagov/docker-kali-ansible,8,8,3,35
29,cisagov/gh-skeleton,8,8,0,328
12,cisagov/dmarc-import,8,8,2,128
4,cisagov/certboto-docker,8,8,2,625
8,cisagov/ansible-role-kali,8,8,3,466
21,cisagov/icsnpp-opcua-binary,8,8,9,524
1,cisagov/icsnpp-genisys,8,8,5,45
8,cisagov/orchestrator,7,7,4,610
6,cisagov/aws-profile-sync,7,7,1,550
27,cisagov/nessus-packer,7,7,1,985
22,cisagov/travis-wait-improved,7,7,3,335
6,cisagov/gatherer,7,7,8,1286
2,cisagov/icsnpp-modbus,7,7,3,29
2,cisagov/icsnpp-ethercat,7,7,5,1061
29,cisagov/con-pca-api,7,7,0,44298
25,cisagov/Sogu,7,7,4,10
10,cisagov/vulnerable-instances,7,7,5,30
1,cisagov/icsnpp-dnp3,7,7,3,60
21,cisagov/.dotfiles,6,6,4,328
23,cisagov/con-pca-web,6,6,4,19059
25,cisagov/admiral,6,6,3,600
15,cisagov/security-contact-finder,6,6,0,975
28,cisagov/icsnpp-bsap-ip,6,6,0,245
11,cisagov/skeleton-generic,6,6,9,256
28,cisagov/cyhy-commander,5,5,0,182
9,cisagov/ansible-role-openvpn,5,5,1,726
0,cisagov/network-architecture-verification-and-validation,5,5,4,672
5,cisagov/PNT-Integrity-Toolkit,5,5,4,29265
0,cisagov/openvpn-server-tf-module,5,5,1,768
20,cisagov/guacamole-packer,5,5,1,1084
20,cisagov/pen-testing-findings,5,5,0,110
2,cisagov/guacamole-composition,5,5,3,655
25,cisagov/domain-manager-ui,5,5,3,54253
21,cisagov/setup-env-github-action,5,5,0,340
12,cisagov/sensitive-data-scanner,5,5,3,277
16,cisagov/awssh,5,5,1,588
7,cisagov/action-lineage,5,5,1,711
29,cisagov/sslyze-lambda,5,5,0,17
2,cisagov/.github,5,5,7,333
12,cisagov/skeleton-ansible-role,5,5,5,506
13,cisagov/dmarc-import-tf-module,5,5,0,709
14,cisagov/scan-target-data,5,5,7,847
4,cisagov/Excel2STIX,5,5,0,617
18,cisagov/cyhy-core,5,5,8,822
9,cisagov/saver,5,5,7,789
8,cisagov/assessment-data-export,4,4,0,634
16,cisagov/domain-manager-cicd,4,4,4,3838
12,cisagov/cool-assessment-terraform,4,4,2,1657
13,cisagov/metasploitable3,4,4,4,254002
12,cisagov/clamav-report,4,4,3,553
17,cisagov/con-pca-cicd,4,4,1,27773
18,cisagov/ansible-role-amazon-efs-utils,4,4,2,597
7,cisagov/kali-packer,4,4,3,1503
20,cisagov/docker-debian11-ansible,4,4,0,24
29,cisagov/icsnpp-bsap-serial,4,4,0,170
23,cisagov/CISASuite,4,4,0,4813
27,cisagov/gophish,3,3,1,55169
8,cisagov/ansible-role-chrony-aws,3,3,1,529
6,cisagov/ansible-role-logrotate,3,3,2,529
4,cisagov/windows-commando-vm-packer,3,3,3,928
24,cisagov/terraformer-packer,3,3,3,905
1,cisagov/icsnpp-bsap,3,3,4,635
29,cisagov/assessment-data-import-lambda,3,3,2,605
27,cisagov/skeleton-aws-lambda,3,3,2,536
26,cisagov/ansible-role-docker,3,3,2,660
16,cisagov/ncats-data-dictionary,3,3,2,394
27,cisagov/docker-debian12-ansible,3,3,3,14
15,cisagov/log4j-md-yml,3,3,0,655
10,cisagov/cyhy-system,3,3,0,268
24,cisagov/windows-server-packer,3,3,1,873
9,cisagov/docker-packer,3,3,0,886
19,cisagov/vdp-scanner-docker,3,3,1,624
24,cisagov/ansible-role-burp-suite-pro,3,3,2,629
9,cisagov/github_org_name_change,3,3,3,9
26,cisagov/ansible-role-xfce-cool,3,3,1,3504
1,cisagov/lcgit,3,3,0,538
19,cisagov/cset-test,3,3,0,20102
4,cisagov/ansible-role-hardening,3,3,0,1027
0,cisagov/teamserver-packer,3,3,2,1090
20,cisagov/pca-report-library,3,3,1,1466
6,cisagov/flat-tribal-leaders,3,3,0,515
2,cisagov/skeleton-ansible-role-with-test-user,3,3,1,556
11,cisagov/megazord-composition,2,2,1,426
19,cisagov/pca-core,2,2,2,449
22,cisagov/ansible-role-assessment-tool,2,2,1,633
4,cisagov/samba-packer,2,2,0,879
3,cisagov/ansible-role-samba,2,2,2,528
24,cisagov/ansible-role-ufw,2,2,1,558
11,cisagov/debian-packer,2,2,1,876
19,cisagov/supplychaingame,2,2,1,8
10,cisagov/guacscanner,2,2,2,767
28,cisagov/s3-read-role-tf-module,2,2,0,502
1,cisagov/ansible-role-openjdk,2,2,1,537
16,cisagov/github-actions-playground,2,2,3,1357
23,cisagov/ncats-webd,2,2,0,2085
13,cisagov/laptop,2,2,1,390
24,cisagov/elastic-ips-terraform,2,2,1,429
19,cisagov/ansible-role-devops-user,2,2,2,518
28,cisagov/ansible-role-pip,2,2,1,605
21,cisagov/cyhy-web,2,2,2,2222
10,cisagov/pca-report-generator-docker,2,2,1,600
27,cisagov/ansible-role-python,2,2,1,591
