name,full_name,stargazers_count,watchers_count,forks_count,contributors_count
RedEye,cisagov/RedEye,2172,2172,205,8
Sparrow,cisagov/Sparrow,1361,1361,182,8
Malcolm,cisagov/Malcolm,1338,1338,221,15
log4j-scanner,cisagov/log4j-scanner,1259,1259,213,6
log4j-affected-db,cisagov/log4j-affected-db,1117,1117,301,108
CHIRP,cisagov/CHIRP,1040,1040,93,4
cset,cisagov/cset,1031,1031,192,28
ScubaGear,cisagov/ScubaGear,684,684,75,12
pshtt,cisagov/pshtt,646,646,92,25
ESXiArgs-Recover,cisagov/ESXiArgs-Recover,271,271,37,2
crossfeed,cisagov/crossfeed,262,262,45,17
bad-practices,cisagov/bad-practices,173,173,11,7
trustymail,cisagov/trustymail,151,151,28,13
development-guide,cisagov/development-guide,149,149,33,7
cyber.dhs.gov,cisagov/cyber.dhs.gov,132,132,60,18
check-cve-2019-19781,cisagov/check-cve-2019-19781,105,105,28,5
ICSNPP,cisagov/ICSNPP,97,97,17,2
dotgov-data,cisagov/dotgov-data,92,92,37,34
prescup-challenges,cisagov/prescup-challenges,72,72,21,3
findcdn,cisagov/findcdn,64,64,10,8
ansible-role-cobalt-strike,cisagov/ansible-role-cobalt-strike,63,63,11,7
cybersecurity-performance-goals,cisagov/cybersecurity-performance-goals,53,53,2,9
PNT-Integrity,cisagov/PNT-Integrity,43,43,19,4
join-cisagov,cisagov/join-cisagov,40,40,8,7
ioc-scanner,cisagov/ioc-scanner,33,33,4,7
vdp-in-fceb,cisagov/vdp-in-fceb,32,32,10,2
Epsilon,cisagov/Epsilon,30,30,7,2
shareable-soar-workflows,cisagov/shareable-soar-workflows,30,30,7,1
gophish-tools,cisagov/gophish-tools,29,29,6,12
check-your-pulse,cisagov/check-your-pulse,27,27,8,2
dotgov-home,cisagov/dotgov-home,22,22,21,12
postfix-docker,cisagov/postfix-docker,22,22,6,8
pca-gophish-composition,cisagov/pca-gophish-composition,21,21,2,9
getgov,cisagov/getgov,19,19,4,10
skeleton-python-library,cisagov/skeleton-python-library,19,19,9,7
scanner,cisagov/scanner,18,18,5,7
gophish-docker,cisagov/gophish-docker,17,17,7,7
cyhy_amis,cisagov/cyhy_amis,15,15,2,9
icsnpp-enip,cisagov/icsnpp-enip,13,13,6,2
ansible-role-clamav,cisagov/ansible-role-clamav,12,12,4,10
rva-reporting-engine,cisagov/rva-reporting-engine,12,12,1,3
pe-reports,cisagov/pe-reports,11,11,4,13
lambda_functions,cisagov/lambda_functions,11,11,6,4
icsnpp-bacnet,cisagov/icsnpp-bacnet,11,11,6,4
tic3.0,cisagov/tic3.0,10,10,7,4
icsnpp-s7comm,cisagov/icsnpp-s7comm,10,10,6,2
domain-manager-api,cisagov/domain-manager-api,9,9,3,11
pshtt_reporter,cisagov/pshtt_reporter,9,9,5,8
trustymail_reporter,cisagov/trustymail_reporter,9,9,4,8
docker-kali-ansible,cisagov/docker-kali-ansible,9,9,3,8
pre-commit-packer,cisagov/pre-commit-packer,9,9,8,7
skeleton-docker,cisagov/skeleton-docker,9,9,2,7
gh-skeleton,cisagov/gh-skeleton,9,9,0,7
certboto-docker,cisagov/certboto-docker,9,9,2,7
icsnpp-opcua-binary,cisagov/icsnpp-opcua-binary,9,9,9,5
cyhy-mailer,cisagov/cyhy-mailer,9,9,6,5
icsnpp-genisys,cisagov/icsnpp-genisys,9,9,5,3
gatherer,cisagov/gatherer,8,8,8,8
ansible-role-kali,cisagov/ansible-role-kali,8,8,3,6
dmarc-import,cisagov/dmarc-import,8,8,2,4
con-pca-api,cisagov/con-pca-api,7,7,1,18
orchestrator,cisagov/orchestrator,7,7,4,9
aws-profile-sync,cisagov/aws-profile-sync,7,7,1,7
nessus-packer,cisagov/nessus-packer,7,7,1,7
skeleton-generic,cisagov/skeleton-generic,7,7,9,7
travis-wait-improved,cisagov/travis-wait-improved,7,7,3,5
network-architecture-verification-and-validation,cisagov/network-architecture-verification-and-validation,7,7,5,3
icsnpp-modbus,cisagov/icsnpp-modbus,7,7,3,2
vulnerable-instances,cisagov/vulnerable-instances,7,7,5,2
icsnpp-dnp3,cisagov/icsnpp-dnp3,7,7,3,2
icsnpp-ethercat,cisagov/icsnpp-ethercat,7,7,5,2
Sogu,cisagov/Sogu,7,7,4,1
con-pca-web,cisagov/con-pca-web,6,6,5,18
con-pca-cicd,cisagov/con-pca-cicd,6,6,1,14
domain-manager-ui,cisagov/domain-manager-ui,6,6,3,12
saver,cisagov/saver,6,6,7,10
admiral,cisagov/admiral,6,6,3,8
.dotfiles,cisagov/.dotfiles,6,6,6,7
openvpn-server-tf-module,cisagov/openvpn-server-tf-module,6,6,2,7
clamav-report,cisagov/clamav-report,6,6,3,7
icsnpp-bsap-ip,cisagov/icsnpp-bsap-ip,6,6,0,1
security-contact-finder,cisagov/security-contact-finder,6,6,0,1
pen-testing-findings,cisagov/pen-testing-findings,6,6,0,1
metasploitable3,cisagov/metasploitable3,5,5,4,35
scan-target-data,cisagov/scan-target-data,5,5,8,13
kali-packer,cisagov/kali-packer,5,5,3,9
sensitive-data-scanner,cisagov/sensitive-data-scanner,5,5,3,7
.github,cisagov/.github,5,5,7,7
setup-env-github-action,cisagov/setup-env-github-action,5,5,0,7
skeleton-ansible-role,cisagov/skeleton-ansible-role,5,5,5,7
awssh,cisagov/awssh,5,5,2,7
guacamole-composition,cisagov/guacamole-composition,5,5,3,7
dmarc-import-tf-module,cisagov/dmarc-import-tf-module,5,5,0,7
action-lineage,cisagov/action-lineage,5,5,1,7
ansible-role-openvpn,cisagov/ansible-role-openvpn,5,5,1,7
guacamole-packer,cisagov/guacamole-packer,5,5,1,7
ansible-role-burp-suite-pro,cisagov/ansible-role-burp-suite-pro,5,5,2,7
cyhy-core,cisagov/cyhy-core,5,5,8,6
cyhy-commander,cisagov/cyhy-commander,5,5,0,5
sslyze-lambda,cisagov/sslyze-lambda,5,5,0,2
CISASuite,cisagov/CISASuite,5,5,0,2
Excel2STIX,cisagov/Excel2STIX,5,5,0,1
PNT-Integrity-Toolkit,cisagov/PNT-Integrity-Toolkit,5,5,4,1
gophish,cisagov/gophish,4,4,2,34
assessment-data-export,cisagov/assessment-data-export,4,4,0,8
cool-assessment-terraform,cisagov/cool-assessment-terraform,4,4,3,8
ansible-role-logrotate,cisagov/ansible-role-logrotate,4,4,2,8
ansible-role-docker,cisagov/ansible-role-docker,4,4,2,8
docker-debian11-ansible,cisagov/docker-debian11-ansible,4,4,0,7
