Repository,URL,Count,Committers,Commits,Additions,Deletions
infosecn1nja/Red-Teaming-Toolkit,https://github.com/infosecn1nja/Red-Teaming-Toolkit,2,1,158,1490,430
bluscreenofjeff/Red-Team-Infrastructure-Wiki,https://github.com/bluscreenofjeff/Red-Team-Infrastructure-Wiki,2,0,0,0,0
OTRF/ThreatHunter-Playbook,https://github.com/OTRF/ThreatHunter-Playbook,2,0,0,0,0
infosecn1nja/AD-Attack-Defense,https://github.com/infosecn1nja/AD-Attack-Defense,2,1,109,394,56
0xthirteen/SharpRDP,https://github.com/0xthirteen/SharpRDP,1,0,0,0,0
s3inlc/hashes-org-mgmt,https://github.com/s3inlc/hashes-org-mgmt,1,0,0,0,0
emersion/mrsh,https://github.com/emersion/mrsh,1,0,0,0,0
hrbrmstr/quotebox,https://github.com/hrbrmstr/quotebox,1,0,0,0,0
TerminalFi/Manipulator,https://github.com/TerminalFi/Manipulator,1,0,0,0,0
lefayjey/dot-files,https://github.com/lefayjey/dot-files,1,0,0,0,0
vysecurity/Aggressor-VYSEC,https://github.com/vysecurity/Aggressor-VYSEC,1,0,0,0,0
sagemath/sage-archive-2023-02-01,https://github.com/sagemath/sage-archive-2023-02-01,1,0,0,0,0
imfht/google_explorer,https://github.com/imfht/google_explorer,1,0,0,0,0
imfht/GoogleAppDownloader,https://github.com/imfht/GoogleAppDownloader,1,0,0,0,0
Rotbot9k/FoRREST,https://github.com/Rotbot9k/FoRREST,1,0,0,0,0
MHaggis/sysmon-dfir,https://github.com/MHaggis/sysmon-dfir,1,0,0,0,0
hrbrmstr/Rbulletgraph,https://github.com/hrbrmstr/Rbulletgraph,1,0,0,0,0
TerminalFi/BeansBarkCo,https://github.com/TerminalFi/BeansBarkCo,1,0,0,0,0
techservicesillinois/SecOps-Powershell-CISDSC,https://github.com/techservicesillinois/SecOps-Powershell-CISDSC,1,0,0,0,0
FrancXPT/upptimer,https://github.com/FrancXPT/upptimer,1,0,0,0,0
VERISCommunity/VCDB,https://github.com/VERISCommunity/VCDB,1,0,0,0,0
natesubra/threatexpress,https://github.com/natesubra/threatexpress,1,0,0,0,0
Team4761/Learning-Git,https://github.com/Team4761/Learning-Git,1,0,0,0,0
hrbrmstr/me-2014-elections,https://github.com/hrbrmstr/me-2014-elections,1,0,0,0,0
mubix/akb,https://github.com/mubix/akb,1,0,0,0,0
jakebacker/CTRE-Phoenix-Redist,https://github.com/jakebacker/CTRE-Phoenix-Redist,1,0,0,0,0
hrbrmstr/ggvis-maps,https://github.com/hrbrmstr/ggvis-maps,1,1,9,10671,100
imfht/SDU_Speedup,https://github.com/imfht/SDU_Speedup,1,0,0,0,0
The-Taggart-Institute/rusty-recon-bot,https://github.com/The-Taggart-Institute/rusty-recon-bot,1,0,0,0,0
mdn/content,https://github.com/mdn/content,1,0,0,0,0
MiragianCycle/OVIWrite,https://github.com/MiragianCycle/OVIWrite,1,0,0,0,0
imfht/arachni-python-client,https://github.com/imfht/arachni-python-client,1,0,0,0,0
jakeajames/rootlessJB3,https://github.com/jakeajames/rootlessJB3,1,0,0,0,0
owtf/owtf,https://github.com/owtf/owtf,1,0,0,0,0
BishopFox/firecat,https://github.com/BishopFox/firecat,1,0,0,0,0
imfht/tld,https://github.com/imfht/tld,1,0,0,0,0
EmpireProject/EmPyre,https://github.com/EmpireProject/EmPyre,1,0,0,0,0
biohacking-village/EMG-Finger,https://github.com/biohacking-village/EMG-Finger,1,0,0,0,0
omaramin17/WP-Check,https://github.com/omaramin17/WP-Check,1,0,0,0,0
TerminalFi/LSP-copilot,https://github.com/TerminalFi/LSP-copilot,1,1,26,2756,500
python-security/pyt,https://github.com/python-security/pyt,1,0,0,0,0
entlein/nothinghere,https://github.com/entlein/nothinghere,1,0,0,0,0
codejake/math-sheets,https://github.com/codejake/math-sheets,1,0,0,0,0
lunarca/SimpleEmailSpoofer,https://github.com/lunarca/SimpleEmailSpoofer,1,0,0,0,0
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,1,0,0,0,0
NopSec/BlueImpScan,https://github.com/NopSec/BlueImpScan,1,0,0,0,0
natesubra/heketi,https://github.com/natesubra/heketi,1,0,0,0,0
entlein/entlein,https://github.com/entlein/entlein,1,0,0,0,0
jollheef/appvm,https://github.com/jollheef/appvm,1,0,0,0,0
shioyadan/advanced-computer-organization,https://github.com/shioyadan/advanced-computer-organization,1,0,0,0,0
hrbrmstr/provinces,https://github.com/hrbrmstr/provinces,1,0,0,0,0
