Source:,IT-Harvest,,,,
Name,Category,Country,Total_Funding $millions,% growth in head count,Head Count
Splunk,Security Analytics,USA,"2,440",7.1,"8,757"
Lacework,Application Security,USA,"1,899",20,972
NetSkope,Application Security,USA,"1,441",26.1,"2,176"
Okta,IAM,USA,"1,229",60.5,"8,231"
Mandiant,Security Analytics,USA,"1,226",-31,"1,325"
OpenText,IAM,Canada,"1,100",3.3,"18,133"
Snyk,Application Security,United Kingdom,"1,071",42.4,"1,223"
Securonix,Security Analytics,USA,"1,065",27.4,917
QI-ANXIN,Endpoint Security,China,"1,064",8.6,75
Blackberry,Endpoint Security,Canada,"1,000",-2.5,"3,517"
OneTrust,GRC,USA,933,23.6,"2,393"
1Password,IAM,Canada,920,96.7,"1,019"
Wiz,GRC,Israel,900,203,724
Arctic Wolf Networks,MSSP,USA,899,63.3,"2,120"
Cybereason,Security Analytics,USA,751,-12.4,879
Sysdig,Endpoint Security,USA,730,75.6,855
SentinelOne,Endpoint Security,USA,697,65.7,"2,031"
Axonius,GRC,USA,665,92.2,633
Acronis,Data Security,Switzerland,658,19.7,"2,199"
Orca Security,Operations,Israel,632,58.2,462
Tenable,GRC,USA,565,22.9,"2,090"
Illumio,Endpoint Security,USA,558,20.6,612
Armis,IoT Security,USA,537,36.3,705
Solarwinds,Security Analytics,USA,533,11.7,"2,495"
Cato Networks,Network Security,Israel,532,49.1,679
NetSPI,GRC,USA,500,55.5,472
CrowdStrike,Endpoint Security,USA,486,53.7,"6,938"
Devo,Security Analytics,USA,481,38,629
Lookout,Endpoint Security,USA,432,24.9,885
eSentire,MSSP,Canada,411,29.4,610
Cribl,Operations,USA,402,28.1,514
BitSight,GRC,USA,402,42.2,817
KnowBe4,GRC,USA,394,33.6,"1,763"
VMWare,Endpoint Security,USA,394,5.8,"34,881"
Exabeam,Security Analytics,USA,391,17.4,722
Saviynt,IAM,USA,375,13.7,890
Dragos,IoT Security,USA,364,41.1,583
HashiCorp,Data Security,USA,349,12.6,"2,504"
Sumo Logic,Security Analytics,USA,340,7.8,"1,082"
Jamf,Endpoint Security,USA,332,22.2,"2,730"
Reliaquest,Operations,USA,330,31.1,980
Drata,GRC,USA,328,133.3,398
Quantinuum,Data Security,USA,325,46,360
Deep Instinct,Endpoint Security,USA,322,-15.7,275
Versa,Network Security,USA,316,24.5,652
SecurityScorecard,GRC,USA,292,39,529
Expel,MSSP,USA,289,58,539
Island,Network Security,USA,285,63.2,177
Abnormal Security,Email Security,USA,284,105.1,580
Salt Security,API Security,USA,271,80.7,205
Contrast Security,Application Security,USA,269,9.7,368
Aqua Security,Endpoint Security,Israel,265,39.9,610
Immuta,Data Security,USA,258,35.4,285
Critical Start,MSSP,USA,255,17.7,267
BigID,GRC,Israel,246,35.6,546
Secureauth Corporation,IAM,USA,239,-7.4,193
ForgeRock,IAM,USA,234,18,983
JFrog,Application Security,USA,227,21.7,"1,410"
noname security,API Security,USA,220,59.9,378
Fastly,Network Security,USA,219,16.9,"1,132"
Keyfactor,Data Security,USA,212,87.2,382
ThreatBook,Threat Intelligence,China,208,43.6,56
Pentera (was Pcysys),Operations,Israel,190,80.5,325
Immersive Labs,Training,United Kingdom,189,9.6,324
Kandji,Endpoint Security,USA,188,31.8,312
ThreatLocker,Endpoint Security,USA,188,132,265
BitDefender,Endpoint Security,Romania,187,8.9,"2,048"
Malwarebytes,Endpoint Security,USA,180,-4.5,868
iboss,Network Security,USA,180,-10.6,290
Teleport,IAM,USA,169,6.9,200
Venafi,Data Security,USA,167,16.1,445
Nozomi Networks,IoT Security,USA,166,71.8,385
Perimeter 81,Network Security,Israel,165,41.5,235
Elastic,Security Analytics,Netherlands,162,21.9,"3,335"
HackerOne,Operations,USA,159,36.6,"3,731"
Corelight,Network Security,USA,159,36.5,276
Lansweeper,Operations,Belgium,159,43.1,277
LogicGate,GRC,USA,156,25.6,264
Swimlane,Operations,USA,155,36.2,200
Sonatype,Application Security,USA,155,50.4,640
ZeroFOX,Threat Intelligence,USA,154,36.5,659
Automox,GRC,USA,153,-29.4,260
RedSeal,GRC,USA,151,-6.6,166
Zscaler,Network Security,USA,148,49.2,"6,681"
